id,number,manufacturer,name,description,productStatus,inventory,price
W11504445,W11504445,Whirlpool,5/4 Nr Ms 00 (high Side To Condenser),5/4 Nr Ms 00 (high Side To Condenser),in_stock,74,$15.70
W11504449,W11504449,Whirlpool,4/2 Nr Al 00 (capillary Tube To Evaporator),4/2 Nr Al 00 (capillary Tube To Evaporator),in_stock,26,$19.70
W10852725,W10852725,Whirlpool,"Grommet, Condenser","Grommet, Condenser",in_stock,54,$4.80
W11661102,W11661102,Whirlpool,"Tube, Process","Tube, Process",backordered,0,$18.00
WP489442,WP489442,Whirlpool,"Screw 
(Replaces: 489442)","Screw 
(Replaces: 489442)",backordered,0,$6.70
W11582579,W11582579,Whirlpool,Compressor (also Order The Following Lokringâ¢ Parts) (Replaces: W11393974),Compressor (also Order The Following Lokringâ¢ Parts) (Replaces: W11393974),backordered,0,$214.00
W11504415,W11504415,Whirlpool,8.5/8 Nr Ms 00 (suction Tube To Compressor),8.5/8 Nr Ms 00 (suction Tube To Compressor),in_stock,40,$13.70
W11504431,W11504431,Whirlpool,7/5 Nr Ms 00 (high Pressure Side To Compressor),7/5 Nr Ms 00 (high Pressure Side To Compressor),in_stock,55,$14.30
W11506619,W11506619,Whirlpool,8 Nk Ms 00 (process Tube To Compressor),8 Nk Ms 00 (process Tube To Compressor),in_stock,76,$13.60
W11506635,W11506635,Whirlpool,"Tube, Charging (1/4 In W/ Schrader Valve)","Tube, Charging (1/4 In W/ Schrader Valve)",backordered,0,$21.30
W11193484,W11193484,Whirlpool,"Blade, Fan","Blade, Fan",in_stock,95,$61.20
W11562211,W11562211,Whirlpool,"Tube, Suction","Tube, Suction",backordered,0,$11.70
W11383479,W11383479,Whirlpool,"Extension, Drain Tube","Extension, Drain Tube",backordered,0,$21.10
W11553819,W11553819,Whirlpool,"Insulation, Sound","Insulation, Sound",in_stock,93,$8.70
W10633573,W10633573,Whirlpool,"Tube, Drain","Tube, Drain",backordered,0,$21.20
W11729596,W11729596,Whirlpool,"Complete Ice Maker Kit 
(Replaces: W11517113)","Complete Ice Maker Kit 
(Replaces: W11517113)",in_stock,32,$110.30
8003RP,8003RP,Whirlpool,"Kit, Water Inlet","Kit, Water Inlet",in_stock,2,$32.80
